Date Reported As Of,PID,Project Name,Description,Category,Borough,Managing Agency,Client Agency,Current Phase,Design Start,Budget Forecast,,Latest Budget Changes,,Total Budget Changes,Forecast Completion,Latest Schedule Changes,Total Schedule Changes,
09/01/13 00:00,34,Jamaica Waste Water Treatment Plant Upgrades,This project will replace the Jamaica Waste Water Treatment Plant's deteriorated plant components as well as upgrade its treatment capacity for the implementation of Biological Nutrient Removal.,Wastewater Treatment,Queens,DEP,DEP,Construction,05/01/96,463790739,,,,-14632471.11,07/01/14,,2009,
01/01/14 00:00,34,Jamaica Waste Water Treatment Plant Upgrades,This project will replace the Jamaica Waste Water Treatment Plant's deteriorated plant components as well as upgrade its treatment capacity for the implementation of Biological Nutrient Removal.,Wastewater Treatment,Queens,DEP,DEP,Construction,05/01/96,476623870.8,,12833132,,-14632471.11,11/14/2014,136,2009,
05/01/14 00:00,34,Jamaica Waste Water Treatment Plant Upgrades,This project will replace the Jamaica Waste Water Treatment Plant's deteriorated plant components as well as upgrade its treatment capacity for the implementation of Biological Nutrient Removal.,Wastewater Treatment,Queens,DEP,DEP,Construction,05/01/96,441193699.9,,-35430171,,-14632471.11,12/04/14,20,2009,
02/01/15 00:00,34,Jamaica Waste Water Treatment Plant Upgrades,This project will replace the Jamaica Waste Water Treatment Plant's deteriorated plant components as well as upgrade its treatment capacity for the implementation of Biological Nutrient Removal.,Wastewater Treatment,Queens,DEP,DEP,Construction,05/01/96,478675877,,37482177,,-14632471.11,05/01/15,148,2009,
08/01/15 00:00,34,Jamaica Waste Water Treatment Plant Upgrades,This project will replace the Jamaica Waste Water Treatment Plant's deteriorated plant components as well as upgrade its treatment capacity for the implementation of Biological Nutrient Removal.,Wastewater Treatment,Queens,DEP,DEP,Construction,05/01/96,479781786,,1105909,,-14632471.11,05/12/16,377,2009,
01/01/16 00:00,34,Jamaica Waste Water Treatment Plant Upgrades,This project will replace the Jamaica Waste Water Treatment Plant's deteriorated plant components as well as upgrade its treatment capacity for the implementation of Biological Nutrient Removal.,Wastewater Treatment,Queens,DEP,DEP,Construction,05/01/96,447872305.2,,-31909481,,-14632471.11,09/23/2016,134,2009,
06/01/16 00:00,34,Jamaica Waste Water Treatment Plant Upgrades,This project will replace the Jamaica Waste Water Treatment Plant's deteriorated plant components as well as upgrade its treatment capacity for the implementation of Biological Nutrient Removal.,Wastewater Treatment,Queens,DEP,DEP,Construction,05/01/96,447943227.4,,70922,,-14632471.11,09/28/2016,5,2009,
11/01/16 00:00,34,Jamaica Waste Water Treatment Plant Upgrades,This project will replace the Jamaica Waste Water Treatment Plant's deteriorated plant components as well as upgrade its treatment capacity for the implementation of Biological Nutrient Removal.,Wastewater Treatment,Queens,DEP,DEP,Construction,05/01/96,451609322.9,,3666095,,-14632471.11,09/19/2017,356,2009,
04/01/17 00:00,34,Jamaica Waste Water Treatment Plant Upgrades,This project will replace the Jamaica Waste Water Treatment Plant's deteriorated plant components as well as upgrade its treatment capacity for the implementation of Biological Nutrient Removal.,Wastewater Treatment,Queens,DEP,DEP,Construction,05/01/96,477952273.4,,26342951,,-14632471.11,11/28/2018,435,2009,
09/01/17 00:00,34,Jamaica Waste Water Treatment Plant Upgrades,This project will replace the Jamaica Waste Water Treatment Plant's deteriorated plant components as well as upgrade its treatment capacity for the implementation of Biological Nutrient Removal.,Wastewater Treatment,Queens,DEP,DEP,Construction,05/01/96,449422103.5,,-28530170,,-14632471.11,01/26/2018,-306,2009,
03/01/18 00:00,34,Jamaica Waste Water Treatment Plant Upgrades,This project will replace the Jamaica Waste Water Treatment Plant's deteriorated plant components as well as upgrade its treatment capacity for the implementation of Biological Nutrient Removal.,Wastewater Treatment,Queens,DEP,DEP,Construction,05/01/96,449449570.9,,27467,,-14632471.11,06/04/18,129,2009,
08/01/18 00:00,34,Jamaica Waste Water Treatment Plant Upgrades,This project consists of work for the replacement of deteriorated plant elements as well as upgrading of treatment capacity for the implementation of the Biological Nutrient Removal.,Wastewater Treatment,Queens,DEP,DEP,Construction,05/01/96,447569141,,-1880430,,-14632471.11,12/03/18,182,2009,
01/01/19 00:00,34,Jamaica Waste Water Treatment Plant Upgrades,This project consists of work for the replacement of deteriorated plant elements as well as upgrading of treatment capacity for the implementation of the Biological Nutrient Removal.,Wastewater Treatment,Queens,DEP,DEP,Construction,05/01/96,478871316.9,,31302176,,-14632471.11,03/30/2019,117,2009,
05/01/19 00:00,34,Jamaica Waste Water Treatment Plant Upgrades,This project consists of work for the replacement of deteriorated plant elements as well as upgrading of treatment capacity for the implementation of the Biological Nutrient Removal.,Wastewater Treatment,Queens,DEP,DEP,Construction,05/01/96,449135030.1,,-29736287,,-14632471.11,06/30/2019,92,2009,
09/01/19 00:00,34,Jamaica Waste Water Treatment Plant Upgrades,This project consists of work for the replacement of deteriorated plant elements as well as upgrading of treatment capacity for the implementation of the Biological Nutrient Removal.,Wastewater Treatment,Queens,DEP,DEP,Construction,05/01/96,449158267.9,,23238,,-14632471.11,12/31/2019,184,2009,
09/01/13 00:00,53,New York Harbor Siphon Construction,This project will replace two existing water mains that cross the New York Harbor Siphon channel between Brooklyn and Staten Island with one deeper main to allow deepening of the channel to accommodate larger ships.,Water Supply,Staten Island,EDC,DEP,Construction,09/18/2005,243648926.8,,,,42102695.39,03/30/2016,,1371,
01/01/14 00:00,53,New York Harbor Siphon Construction,This project will replace two existing water mains that cross the New York Harbor Siphon channel between Brooklyn and Staten Island with one deeper main to allow deepening of the channel to accommodate larger ships.,Water Supply,Staten Island,EDC,DEP,Construction,09/18/2005,250290726.5,,6641800,,42102695.39,04/28/2016,29,1371,
05/01/14 00:00,53,New York Harbor Siphon Construction,This project will replace two existing water mains that cross the New York Harbor Siphon channel between Brooklyn and Staten Island with one deeper main to allow deepening of the channel to accommodate larger ships.,Water Supply,Staten Island,EDC,DEP,Construction,09/18/2005,257698200,,7407474,,42102695.39,10/28/2015,-183,1371,
